Task,Filename,Type,NIQE,BRISQUE,Entropy,LOE,Sharpness,Gradient
LowLight_ZeroDCE,img_36.PNG,low_light,,,1.131917953491211,238.955,,
LowLight_ZeroDCE,img_37.PNG,low_light,,,2.0251967906951904,328.0708,,
LowLight_ZeroDCE,img_38.PNG,low_light,,,2.848904609680176,337.3682,,
LowLight_ZeroDCE,img_39.PNG,low_light,,,2.6648409366607666,228.0079,,
LowLight_ZeroDCE,img_40.PNG,low_light,,,2.3660168647766113,230.4908,,
LowLight_ZeroDCE,img_41.PNG,low_light,,,2.290008544921875,190.6354,,
LowLight_ZeroDCE,img_42.PNG,low_light,,,2.228546142578125,206.9599,,
LowLight_ZeroDCE,img_43.PNG,low_light,,,2.326582908630371,184.4897,,
LowLight_ZeroDCE,img_44.PNG,low_light,,,2.2621042728424072,166.2288,,
LowLight_ZeroDCE,img_45.PNG,low_light,,,2.36057448387146,160.5563,,
LowLight_ZeroDCE,img_46.PNG,low_light,,,2.97322940826416,232.4682,,
LowLight_ZeroDCE,img_47.PNG,low_light,,,3.6174089908599854,318.7413,,
LowLight_ZeroDCE,img_48.PNG,low_light,,,3.1715197563171387,478.8982,,
LowLight_ZeroDCE,img_49.PNG,low_light,,,2.196718692779541,160.8122,,
LowLight_ZeroDCE,img_50.PNG,low_light,,,1.8574395179748535,134.5926,,
LowLight_ZeroDCE,img_51.PNG,low_light,,,2.8246350288391113,203.5512,,
LowLight_ZeroDCE,img_52.PNG,low_light,,,2.7583515644073486,271.5266,,
LowLight_ZeroDCE,img_53.PNG,low_light,,,3.1558339595794678,489.1659,,
LowLight_ZeroDCE,img_54.PNG,low_light,,,2.301272392272949,291.547,,
LowLight_ZeroDCE,img_55.PNG,low_light,,,4.291910171508789,427.8714,,
LowLight_ZeroDCE,img_56.PNG,low_light,,,3.7381372451782227,338.1937,,
LowLight_ZeroDCE,img_57.PNG,low_light,,,3.0611257553100586,454.0861,,
LowLight_ZeroDCE,img_58.PNG,low_light,,,2.251913547515869,526.8809,,
LowLight_ZeroDCE,img_59.PNG,low_light,,,1.8987349271774292,918.4934,,
